"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Czech Republic","CZE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4019.5","4092.2","4179.6","4192.7","4132.8","3968.1","4346.2","3906","4508","4326.5","3941.6","5444.5","4742.2","4159.9","4523.8","5363.5","5074.2","4696","5593.5","4530.1","5309.9","6219.9","",
"Czech Republic","CZE","Trade in services (% of GDP)","BG.GSR.NFSV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0260908081143","17.6220276856397","17.6009941660872","17.9428202886236","17.9262801837699","19.2350765828856","19.9017947232943","21.5563406943343","21.2976185545517","23.1511104320485","",
"Czech Republic","CZE","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.3348485844761","42.5646693339974","43.3412446085722","41.9292488734461","44.7013946519192","45.0459092337215","46.0939396804231","48.027143918333","46.1867961420387","45.9754038353956","",
"Czech Republic","CZE","Primary income payments (BoP, current US$)","BM.GSR.FCTY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","664420325.018993","811626870.580938","1300767602.93848","1892392521.99164","2196558102.16727","2806481690.60929","3209081329.76696","3322785953.949","4421911627.55914","5631760584.83683","6965843363.50848","9496585011.58219","9948206631.70779","13297587902.4196","20485821370.764","19962132196.4998","17952233212.884","19052186129.715","20028075270.3889","19890338767.3492","19602764668.3567","19802229516.5139","",
"Czech Republic","CZE","Imports of goods and services (BoP, current US$)","BM.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17162767192.3967","19684583778.4794","25881061386.2594","29194552960.1773","27807258725.5091","28654460420.8135","28441837105.4804","31103882558.2163","34444444129.1861","38780115474.7878","48797383350.5508","68088036927.1187","73864443354.2713","89023330171.769","112433899281.108","144871415422.005","113932760984.834","130837451159.024","153926771768.053","148051587472.855","148854653011.202","157565427046.954","",
"Czech Republic","CZE","Insurance and financial services (% of service imports, BoP)","BM.GSR.INSF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0293055689583","11.6618686947163","7.46857054370276","8.72469025275083","7.65220547951256","6.62309278196178","6.58859872567235","6.07748769296605","6.87567837470124","8.33298087122282","",
"Czech Republic","CZE","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13352188735.0608","14865720127.2227","20841309905.2907","22831963920.6035","22251271129.4336","22818209980.6916","22487802459.9452","25544095995.6033","28787876344.9324","32343324382.6614","41289288425.8053","59243033322.1511","63700198355.148","77047288117.4594","98004895475.8948","126415007097.568","97660114670.0669","112974269862.914","133616083834.007","127786130885.415","128468646960.883","135168071841.991","",
"Czech Republic","CZE","Service imports (BoP, current US$)","BM.GSR.NFSV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10164244999","11976042054","14429003805","18456408324","16272646315","17863181296","20310687934","20265456587","20386006050","22397355205","",
"Czech Republic","CZE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20381969.8618972","26272616.5238604","53328089.9694773","97954964.0696521","77861868.7419713","112645152.734995","137439776.43919","81725597.7100222","92705740.4783986","119236203.236121","175866289.627815","173657217.642527","503647778.484488","551393753.997437","694051885.115951","859173450.847655","842489141.188645","945086547.381638","1179217303.25258","1042852405.55227","1160503560.34487","1202389287.24992","",
"Czech Republic","CZE","Imports of goods, services and primary income (BoP, current US$)","BM.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17827187517.4157","20496210649.0603","27181828989.1979","31086945482.1689","30003816827.6764","31460942111.4228","31650918435.2474","34426668512.1653","38866355756.7452","44411876059.6246","55763226714.0593","77584621938.7009","83812649985.9791","102320918074.189","132919720651.872","164833547618.505","131884994197.718","149889637288.739","173954847038.442","167941926240.204","168457417679.559","177367656563.468","",
"Czech Republic","CZE","Transport services (% of service imports, BoP)","BM.GSR.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9769112767007","22.682863480589","24.3988131720338","22.8757879901334","21.4712773090365","24.5276479615017","23.7418332674719","23.8294212386822","24.1885527299981","22.7731100874309","",
"Czech Republic","CZE","Travel services (% of service imports, BoP)","BM.GSR.TRVL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6589345710775","23.0905984932823","24.7913716771684","26.4603365183342","26.1491531037118","23.8042187776851","23.5764870294253","22.0657166370297","22.7482279442679","22.9174291676497","",
"Czech Republic","CZE","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89920504.4282758","116322462.44656","36614337.5121592","154696279.847369","27657899.5165786","125351391.253942","89981365.458929","42678384.1758011","164675800.790612","211396576.833048","207979742.186778","1037499046.6518","-26803211.8676134","1479063866.54994","1642325841.67127","6557758078.29446","3320090418.3825","5249368446.62098","1596185305.3604","3252573385.00696","7737558059.03538","-1713261123.30371","",
"Czech Republic","CZE","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.222288040370281","0.245588058030505","0.0614983414227892","0.231667797020714","0.0448836203562166","0.188860164434245","0.139032933393948","0.0694247976489015","0.244414511381702","0.258757944836805","0.209445167858737","0.872023638963846","-0.019709661961403","0.952925211605036","0.869792334479375","2.78810539827003","1.61381120701208","2.5357325015309","0.702196601702944","1.57554181242064","3.71411519267345","-0.834639034392771","",
"Czech Republic","CZE","Secondary income, other sectors, payments (BoP, current US$)","BM.TRF.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66924076.367286","197620525.289047","463587770.829429","506245771.763836","634983395.634723","482894300.30526","357409150.137244","416716635.782122","532106038.351272","887692633.849135","1056218849.73922","1164894949.70801","1536689906.27617","1618269560.9254","1705635058.51468","1715366332.42239","1896775282.11681","2049157169.13456","1959468450.0248","2004007182.39769","",
"Czech Republic","CZE","Personal remittances, paid (current US$)","BM.TRF.PWKR.CD.DT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6249997.616","55021465.3","100775581.4","302574646","341317413.3","744608276.4","641553405.8","604845336.9","718140564","897727722.2","1102473145","1431436523","1162525512.11542","1460348167.68404","2075208551.90269","2586100789.09276","2044602212.03787","1496982252.67054","1522137850.14904","1334625944.42687","1079198620.08455","822281237.308774","",
"Czech Republic","CZE","Current account balance (BoP, current US$)","BN.CAB.XOKA.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","466333364.631825","-819875392.269923","-1373523087.20907","-4127553020.16764","-3621726040.44344","-1308286938.64821","-1465751162.91064","-2689755313.83905","-3272573493.81492","-4264835726.29032","-5785485093.44665","-5749351083.53969","-1209609348.95226","-3130375915.75753","-7940202854.46833","-4407952631.4357","-4869768332.55461","-7351204483.70952","-5020059122.20126","-3158497435.6835","-1105890387.14822","1343091137.82126","",
"Czech Republic","CZE","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1527996917096","-1.73097784537593","-2.30700314436156","-6.18128061134945","-5.87738691204833","-1.97112520163198","-2.26477652084613","-4.37541678286438","-4.85720699466052","-5.2203311147891","-5.82624963277883","-4.83236111852702","-0.889482629580269","-2.0168257770266","-4.20521153707218","-1.87409117266808","-2.36707008553637","-3.55103443857916","-2.20843309615713","-1.52997155952934","-0.530839866660824","0.654305566807579","",
"Czech Republic","CZE","Net financial account (BoP, current US$)","BN.FIN.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9554308.64506397","-1031566575.38853","-771395014.334124","-5027480904.19854","-2880597799.45293","-1017824215.09018","-1440493960.12787","-2994489526.14433","-2780797262.43303","-4006311796.56623","-5179313979.43122","-6774907196.22747","-2707565866.37249","-4448090530.90379","-5533987087.61478","-2441671194.26378","-4236926445.25849","-6446006703.03517","-4447523616.49154","668717798.549757","3524769286.23539","2436319116.26697","",
